customer_id,merchant_id,customer_name,email,total_orders,total_spent,first_order_date,last_order_date,is_repeat_customer,loyalty_tier
CUST_000001,M0150,Meera Kulkarni,meera.kulkarni_1@example.com,1,41836.41,2026-02-27,2026-02-27,False,STANDARD
CUST_000002,M0193,Amit Kapoor,amit.kapoor_2@example.com,8,2990.87,2025-10-13,2025-11-20,True,GOLD
CUST_000003,M0093,Isha Sharma,isha.sharma_3@example.com,1,24651.44,2025-12-19,2025-12-19,False,STANDARD
CUST_000004,M0483,Rahul Rao,rahul.rao_4@example.com,4,91778.79,2026-01-15,2026-03-07,True,GOLD
CUST_000005,M0256,Vikram Deshmukh,vikram.deshmukh_5@example.com,6,21032.03,2026-01-08,2026-02-05,True,GOLD
CUST_000006,M0194,Rohan Rao,rohan.rao_6@example.com,1,2626.84,2025-12-10,2025-12-10,False,STANDARD
CUST_000007,M0299,Arjun Bhat,arjun.bhat_7@example.com,1,26.77,2026-01-10,2026-01-10,False,STANDARD
CUST_000008,M0279,Aditi Joshi,aditi.joshi_8@example.com,4,47.09,2026-06-18,2026-07-26,True,SILVER
CUST_000009,M0337,Sneha Singh,sneha.singh_9@example.com,3,895.16,2025-10-28,2026-02-03,True,SILVER
CUST_000010,M0496,Karan Bose,karan.bose_10@example.com,5,39939.58,2026-04-02,2026-07-01,True,GOLD
CUST_000011,M0262,Varun Bhat,varun.bhat_11@example.com,9,214693.95,2025-12-27,2026-05-23,True,GOLD
CUST_000012,M0201,Siddharth Kulkarni,siddharth.kulkarni_12@example.com,6,5369.59,2026-02-17,2026-08-20,True,GOLD
CUST_000013,M0248,Priya Deshmukh,priya.deshmukh_13@example.com,4,1522.56,2026-06-14,2026-08-08,True,SILVER
CUST_000014,M0179,Pooja Iyer,pooja.iyer_14@example.com,8,64719.6,2025-11-19,2025-12-22,True,GOLD
CUST_000015,M0179,Meera Mehta,meera.mehta_15@example.com,16,143455.95,2026-03-02,2026-08-09,True,PLATINUM
CUST_000016,M0154,Aditi Mehta,aditi.mehta_16@example.com,12,9422.69,2025-09-15,2026-07-02,True,PLATINUM
CUST_000017,M0347,Neha Nair,neha.nair_17@example.com,1,3383.72,2025-11-03,2025-11-03,False,STANDARD
CUST_000018,M0082,Karan Bhat,karan.bhat_18@example.com,16,455.23,2026-04-16,2026-05-15,True,PLATINUM
CUST_000019,M0323,Neha Singh,neha.singh_19@example.com,15,2545.04,2026-01-22,2026-08-19,True,PLATINUM
CUST_000020,M0378,Divya Reddy,divya.reddy_20@example.com,15,56805.64,2026-01-25,2026-08-25,True,PLATINUM
CUST_000021,M0361,Rahul Reddy,rahul.reddy_21@example.com,4,502.48,2025-10-21,2026-07-05,True,SILVER
CUST_000022,M0410,Isha Singh,isha.singh_22@example.com,8,24857.48,2025-12-21,2026-07-28,True,GOLD
CUST_000023,M0135,Meera Saxena,meera.saxena_23@example.com,1,7766.04,2026-03-05,2026-03-05,False,STANDARD
CUST_000024,M0306,Arjun Das,arjun.das_24@example.com,5,36695.96,2026-02-15,2026-05-28,True,GOLD
CUST_000025,M0433,Siddharth Das,siddharth.das_25@example.com,11,13581.98,2025-10-02,2025-10-28,True,GOLD
CUST_000026,M0044,Vikram Iyer,vikram.iyer_26@example.com,11,15169.6,2026-06-14,2026-08-03,True,PLATINUM
CUST_000027,M0192,Vikram Saxena,vikram.saxena_27@example.com,6,5760.15,2025-10-22,2026-02-11,True,GOLD
CUST_000028,M0217,Neha Malhotra,neha.malhotra_28@example.com,1,9.32,2025-09-16,2025-09-16,False,STANDARD
